250 
36000000 
24619;0;0;0;21600000;57600000
18458;28;6;1273543;39600000;54000000
8340;27;6;1262339;32400000;57600000
32095;8;2;829715;25200000;39600000
27044;11;3;1040720;28800000;36000000
12912;18;4;1239480;36000000;43200000
23456;34;7;1362333;32400000;50400000
26848;11;3;1168472;28800000;46800000
991;13;3;1457723;36000000;46800000
4328;21;5;640044;46800000;57600000
3455;34;7;1347917;43200000;50400000
12675;37;8;1467399;43200000;50400000
17242;1;1;824989;28800000;46800000
5647;9;2;1644075;36000000;57600000
28214;16;4;1034372;43200000;57600000
17930;38;8;1336099;36000000;43200000
25404;37;8;1291297;21600000;57600000
7994;16;4;863035;32400000;46800000
22188;39;8;2099223;32400000;43200000
25080;19;4;1398949;46800000;57600000
18126;16;4;1018154;21600000;46800000
4861;30;6;921540;36000000;54000000
4908;18;4;1044681;43200000;54000000
27693;22;5;278149;46800000;57600000
5118;35;7;1151662;39600000;46800000
20404;5;1;842841;46800000;54000000
17894;32;7;1626613;46800000;54000000
29012;16;4;1462262;21600000;36000000
24029;11;3;1337077;21600000;43200000
10749;4;1;1122888;25200000;50400000
22893;3;1;913389;21600000;50400000
10655;29;6;968750;25200000;43200000
24354;25;5;1696874;43200000;54000000
31548;14;3;1362258;43200000;57600000
827;33;7;1047201;46800000;54000000
3905;21;5;967147;43200000;57600000
17572;16;4;1266948;46800000;57600000
16406;35;7;947459;25200000;54000000
22057;29;6;1672673;21600000;32400000
1268;8;2;934183;43200000;57600000
2020;24;5;917056;25200000;54000000
18167;24;5;880679;43200000;57600000
25847;12;3;1694840;21600000;32400000
3188;18;4;1246676;43200000;54000000
22913;4;1;1282344;32400000;54000000
28300;36;8;1200478;25200000;36000000
29898;32;7;576700;32400000;54000000
3329;22;5;1390343;39600000;54000000
7105;14;3;1528548;32400000;50400000
29769;5;1;1233722;36000000;46800000
14156;31;7;1159457;21600000;39600000
10721;29;6;1791199;43200000;57600000
27919;32;7;1472548;25200000;32400000
21220;35;7;1472836;39600000;54000000
18175;26;6;1138316;21600000;43200000
10460;7;2;949687;25200000;39600000
17015;2;1;599220;25200000;50400000
12504;2;1;1875192;39600000;46800000
13852;17;4;846658;28800000;54000000
26815;18;4;894630;28800000;57600000
4652;11;3;1534842;36000000;57600000
24291;22;5;479678;28800000;43200000
21684;17;4;1173010;28800000;57600000
26585;31;7;958391;21600000;50400000
3587;31;7;959679;46800000;54000000
26249;9;2;1168222;43200000;54000000
2398;35;7;1448914;39600000;57600000
23169;21;5;1347458;46800000;54000000
28149;14;3;1144369;32400000;39600000
10383;22;5;1635764;43200000;54000000
27670;36;8;1318188;46800000;54000000
20878;1;1;1540056;43200000;50400000
19105;17;4;1063787;36000000;43200000
2944;30;6;1292858;36000000;46800000
26812;7;2;891714;39600000;57600000
28893;13;3;865727;28800000;50400000
1991;29;6;1554704;32400000;50400000
14891;31;7;1130799;43200000;57600000
29075;29;6;1292239;32400000;57600000
13775;33;7;740667;28800000;43200000
20174;7;2;1096385;36000000;57600000
29219;34;7;1368561;36000000;57600000
16834;29;6;1453369;46800000;54000000
19912;32;7;1445825;25200000;57600000
6464;35;7;1614981;21600000;46800000
25150;1;1;1135766;43200000;57600000
12246;31;7;1168422;36000000;46800000
31921;6;2;916684;46800000;57600000
19272;6;2;1230840;32400000;43200000
6422;10;2;1241196;36000000;43200000
4158;15;3;1394386;21600000;50400000
4983;26;6;1547466;21600000;36000000
24123;18;4;926175;46800000;57600000
907;26;6;1113640;32400000;54000000
10190;3;1;1194380;43200000;50400000
30346;28;6;909960;32400000;39600000
6924;21;5;1237470;46800000;57600000
31551;31;7;1172884;46800000;57600000
11837;23;5;745262;39600000;57600000
13407;26;6;959838;36000000;50400000
25814;27;6;1194687;39600000;50400000
25881;38;8;872301;32400000;50400000
24744;20;4;958044;21600000;46800000
11246;32;7;682497;32400000;54000000
4950;22;5;1197533;43200000;57600000
24515;13;3;1284987;32400000;57600000
9228;6;2;1597568;36000000;46800000
17205;4;1;1023911;32400000;43200000
23918;27;6;1074068;21600000;43200000
556;2;1;779908;32400000;46800000
14287;8;2;1224760;39600000;46800000
11699;10;2;1006068;32400000;54000000
21412;10;2;1678437;32400000;46800000
10759;36;8;1472528;39600000;46800000
30776;19;4;1250045;21600000;46800000
17133;24;5;1451508;21600000;46800000
27297;17;4;1653793;39600000;50400000
23113;38;8;1528454;46800000;57600000
12530;29;6;1168153;28800000;43200000
25837;26;6;1463270;28800000;36000000
